127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.002372
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001693
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001781
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.002756
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.000886
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001681
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002049
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001004
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.001864
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.000825
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001192
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.000972
127.0.0.1, 2014-11-01 22:56:48, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.000302
127.0.0.1, 2015-09-15 22:32:31, GET, /, HTTP/1.1, 303, 0.001465
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.097064
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002031
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000868
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002523
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001038
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001110
